"community_code","chiefdom","phu","community","cahw","id","n_reports","n_animals","findable","as_final_score_r1","as_final_score_r2","mfu_final_score_r1","mfu_final_score_r2","fr_final_score_r1","fr_final_score_r2","sao_final_score_r1","sao_final_score_r2","final_score_r1","final_score_r2","tier_r1","tier_r2","n_reports_std","n_animals_std","findable_std","y_effort_avg","y_qual_2","y_qual_1","y_qual_avg","findable_FALSE","findable_TRUE","n_reports_FALSE","n_reports_TRUE","n_animals_FALSE","n_animals_TRUE","findable_1","findable_2","n_reports_1","n_reports_2","n_animals_1","n_animals_2","n_reports_1_std","n_animals_1_std","findable_1_std","y_effort_1","n_reports_2_std","n_animals_2_std","findable_2_std","y_effort_2","t1_COMC","t1_block","primary_stratum","t3_P4P","t2t3_block","t2_CM","n_all","embedded","conscientiousness","final_score_r2_rescaled","y_anderson","final_score_r2_anderson","ipw"
346,"Soa","Sukudu","[redacted]","[redacted]",13461,126,219,0.857142857142857,0.450167119503021,0.574580430984497,0.364623785018921,-0.14586478471756,0.674795091152191,0.631752729415894,-0.197067871689796,0,0.540019512176514,0.461883902549744,2,2,0.729588882455125,0.488948425987944,0.857142857142857,0.691893388528642,0.504261049110406,0.431643864418144,0.467952456764275,1,0.666666666666667,90,35,174,44,1,0.666666666666667,90,35,174,44,1,0.871306960440661,1,0.957102320146887,0.337512054001929,0.180846691327579,0.666666666666667,0.395008470665392,0,172,"TRUE",1,83,0,115.285714285714,-0.0820414063809991,9,0.504261071920988,0.896436543817376,0.508508002637357,8
347,"Soa","Kainkordu","[redacted]","[redacted]",13471,73,101,1,0.337832987308502,0.282951086759567,-1.0482029914856,-0.239941611886024,0.565980851650238,0.544183492660522,-0.197067871689796,0,-0.000229521712753922,0.254904299974442,0,1,0.422698320787493,0.225496762670239,1,0.549398361152577,0.482102602218094,0.346283811560685,0.41419320688939,1,1,24,36,30,52,1,1,24,36,30,52,0.311284046692607,0.150225338007011,1,0.487169794899873,0.347155255544841,0.213727907932594,1,0.520294387825811,0,96,"FALSE",0,53,1,58.3333333333333,0.477552826312461,9,0.482102620537855,0.44911774210211,-0.098691577393168,4
349,"Soa","Manjama","[redacted]","[redacted]",13490,363,832,1,0.449573904275894,0.5142902135849,0.656932771205902,-0.254512429237366,0.272321194410324,0.485803961753845,-0.197067871689796,0.405515313148499,0.451919555664062,0.501518905162811,2,2,1,1,1,1,0.508504225149482,0.425857779188172,0.467181002168827,1,1,116,195,229,483,1,1,116,195,229,483,1,1,1,1,1,1,1,1,1,90,"FALSE",1,32,1,398.666666666667,-0.00328128181301585,5,0.508504245004444,2.57175880197905,1.74396930240807,4
350,"Soa","Sukudu","[redacted]","[redacted]",13501,31,58,0.857142857142857,0.119523480534554,0.307397454977036,0.732716500759125,-0.155473083257675,0.518466413021088,0.544183492660522,-0.197067871689796,-0.14396533370018,0.438249856233597,0.239575564861298,2,1,0.179502026635785,0.129493190444296,0.857142857142857,0.388712691407646,0.480461563553889,0.425433507383716,0.452947535468803,0.75,1,19,11,36,20,0.75,1,19,11,36,20,0.246433203631647,0.180270405608413,0.75,0.392234536413353,0.106075216972035,0.082203041512536,1,0.39609275282819,0,178,"TRUE",0,89,0,29.952380952381,-1.21907711406391,9,0.480461584283348,-0.10089745044781,-0.279006296469569,8
351,"Soa","Bandasuma","[redacted]","[redacted]",13511,39,47,0.714285714285714,-0.345968186855316,0.0523068271577358,-0.97999757528305,0,-0.335919082164764,0.122258879244328,-0.197067871689796,-0.14396533370018,-0.685069441795349,0.0114872949197888,0,0,0.225825130283729,0.104934137084171,0.714285714285714,0.348348327217871,0.456043298816963,0.267008730416638,0.361526014616801,0.75,0.666666666666667,16,19,16,28,0.75,0.666666666666667,16,19,16,28,0.207522697795071,0.0801201802704056,0.75,0.345880959355159,0.183220829315333,0.11508425811755,0.666666666666667,0.321657251366517,0,84,"FALSE",1,60,0,28.9047619047619,-0.192184168807604,9,0.456043319016252,-0.444897898073954,0.530621703120352,4
353,"Soa","Fuero","[redacted]","[redacted]",13530,40,110,0.571428571428571,-3.59189414978027,0.543219029903412,0,-0.128372758626938,-3.18111252784729,0.631752729415894,-0.197067871689796,0,-3.09122490882874,0.455818325281143,0,2,0.231615518239722,0.24559053360125,0.571428571428571,0.349544874423181,0.503611693991031,0,0.251805846995516,0.25,1,4,34,17,85,0.25,1,4,34,17,85,0.0518806744487679,0.085127691537306,0.25,0.129002788662025,0.327868852459016,0.349362926428278,1,0.559077259629098,1,103,"FALSE",1,44,0,50.1904761904762,0.0173672286695509,9,0.503611714219337,-0.343174529501825,0.593688800591211,4
354,"Soa","Sukudu","[redacted]","[redacted]",13540,33,41,0.428571428571429,-3.59189414978027,0.459436774253845,0,-0.151441633701324,-3.18111252784729,0.631752729415894,-0.197067871689796,0,-3.09122490882874,0.409088671207428,0,2,0.191082802547771,0.0915382897968297,0.428571428571429,0.237064173638676,0.498608993523683,0,0.249304496761842,0.5,0.333333333333333,8,22,11,27,0.5,0.333333333333333,8,22,11,27,0.103761348897536,0.0550826239359039,0.5,0.219614657611147,0.212150433944069,0.110974106041924,0.333333333333333,0.218819291106442,1,35,"FALSE",0,42,1,24.8095238095238,0.105384739148355,9,0.498609014653488,-1.04165254810255,0.438316797792061,4
355,"Toli","Kondewakoro","[redacted]","[redacted]",13551,93,258,0.857142857142857,0.35901528596878,-0.101246051490307,-0.138797268271446,-0.155473083257675,-0.448639869689941,-0.132488042116165,-0.197067871689796,0,-0.158287391066551,-0.172108948230743,0,0,0.538506079907354,0.57602143335566,0.857142857142857,0.657223456801957,0.436388182299423,0.341893882083453,0.389141032191438,1,0.666666666666667,70,23,204,54,1,0.666666666666667,70,23,204,54,0.907911802853438,1,1,0.969303934284479,0.221793635486982,0.221948212083847,0.666666666666667,0.370136171412498,0,184,"TRUE",1,92,1,117.285714285714,-0.225193181476949,9,0.436388201423219,1.12401039951369,0.303791843382887,8
356,"Toli","Kpetema","[redacted]","[redacted]",13561,23,105,1,-3.59189414978027,-3.03969097137451,0,0,-3.18111252784729,-2.2978367805481,0,0,-3.02960562705994,-2.33617925643921,0,0,0.13317892298784,0.234427327528466,1,0.455868750172102,0.204711030305711,0.0102949692732283,0.10750299978947,1,1,19,0,84,0,1,1,19,0,84,0,0.246433203631647,0.420630946419629,1,0.555688050017092,0,0,1,0.333333333333333,0,53,"FALSE",0,63,1,43,0.0637699191705857,9,0.204711040401167,0.460793768044206,0.374084052253464,4
358,"Toli","Kpetema","[redacted]","[redacted]",13580,128,436,0.571428571428571,0.449704647064209,-0.44141560792923,-0.30931082367897,-0.108170710504055,0.0661597922444344,-0.599524080753326,-0.197067871689796,1.30295383930206,0.0580410324037075,0.0653857290744781,1,1,0.741169658367111,0.973431569546774,0.571428571428571,0.762009933114152,0.461813459102305,0.364617317595196,0.413215388348751,0.5,0.666666666666667,53,75,199,237,0.5,0.666666666666667,53,75,199,237,0.687418936446174,0.99649474211317,0.5,0.727971226186448,0.723240115718419,0.974106041923552,0.666666666666667,0.788004274769546,1,184,"TRUE",0,74,0,188.190476190476,0.956906864344532,9,0.461813480993489,1.6501571739837,6.39758792473611,8
359,"Toli","Kondewakoro","[redacted]","[redacted]",13590,88,153,0.857142857142857,0.407055824995041,0.278537034988403,0.497786790132523,-0.152516692876816,0.174365654587746,0.631752729415894,-0.197067871689796,-0.14396533370018,0.339599937200546,0.266543865203857,1,1,0.509554140127389,0.341594105827194,0.857142857142857,0.569430367699146,0.483348688458663,0.410205432861864,0.446777060660264,1,0.666666666666667,36,44,64,80,1,0.666666666666667,36,44,64,80,0.466926070038911,0.320480721081622,1,0.595802263706844,0.424300867888139,0.328812166050144,0.666666666666667,0.47325990020165,1,122,"FALSE",0,34,0,80.6190476190476,-0.483502232059151,9,0.483348708253977,0.487827800739485,-0.281923669870256,4
360,"Toli","Kpetema","[redacted]","[redacted]",13600,53,124,0.714285714285714,0.15259213745594,0.149261459708214,-0.479824393987656,7.22566890716553,0.792491495609283,0.122258879244328,-0.197067871689796,0,0.19587054848671,3.27688264846802,1,2,0.306890561667632,0.276847510605046,0.714285714285714,0.432674595519464,0.805624135196093,0.37813228795221,0.591878211574152,0.75,0.666666666666667,15,29,35,67,0.75,0.666666666666667,15,29,35,67,0.194552529182879,0.175262894341512,0.75,0.373271807841464,0.279652844744455,0.275380189066996,0.666666666666667,0.407233233492706,1,102,"FALSE",0,30,0,59.2380952380952,-0.355508686334467,7,0.805624163157559,0.0242217874412018,40.8577804164987,4
361,"Toli","Kondewakoro","[redacted]","[redacted]",13610,141,615,0.714285714285714,0.34871119260788,0.155999317765236,0.257804721593857,-0.155473083257675,-0.745246767997742,-0.00511458469554782,1.64152896404266,0,0.403939068317413,-0.00390194053761661,2,0,0.81644470179502,1,0.714285714285714,0.843576805360245,0.454395785690487,0.442629044187848,0.448512414939167,1,0.333333333333333,78,52,370,190,1,0.333333333333333,78,52,370,190,1,1,1,1,0.501446480231437,0.780928894369092,0.333333333333333,0.538569569311287,1,183,"TRUE",0,78,1,252.238095238095,0.620230501768616,9,0.454395805824306,2.00485486262622,0.378852973369333,8
362,"Toli","Kondewakoro","[redacted]","[redacted]",13621,60,152,0.714285714285714,0.305926293134689,0.284391403198242,-1.0482029914856,-0.303293019533157,0.0290299206972122,-1.89937376976013,-0.197067871689796,0,-0.253561109304428,-0.84082293510437,0,0,0.347423277359583,0.339361464612637,0.714285714285714,0.467023485419311,0.36479820292252,0.316566274545108,0.340682238733814,0.75,0.666666666666667,32,23,85,57,0.75,0.666666666666667,32,23,85,57,0.415045395590143,0.42563845768653,0.75,0.530227951092224,0.221793635486982,0.234278668310728,0.666666666666667,0.374246323488125,0,86,"FALSE",1,62,0,70.9047619047619,-0.032044830182907,9,0.364798217758189,0.195288488696234,-0.188692369288749,4
363,"Toli","Kondewakoro","[redacted]","[redacted]",13631,0,0,0.285714285714286,-3.59189414978027,-3.03969097137451,0,-0.155473083257675,-3.18111252784729,-2.2978367805481,-0.197067871689796,-0.14396533370018,-3.09122490882874,-2.46713399887085,0,0,0,0,0.285714285714286,0.0952380952380952,0.190691518314518,0,0.0953457591572589,0.5,0,NA,NA,NA,NA,0.5,0,0,0,0,0,0,0,0.5,0.166666666666667,0,0,0,0,0,56,"FALSE",0,63,0,0.0952380952380952,-0.74476621379067,8,0.190691522258037,-1.57732167818996,-1.13101214786696,4
365,"Toli","Kpetema","[redacted]","[redacted]",13650,201,523,0.857142857142857,0.448031634092331,0.392521470785141,-0.271418899297714,-0.192428067326546,0.382703900337219,0.631752729415894,-0.197067871689796,-0.14396533370018,0.210111916065216,0.298938572406769,1,1,1,1,0.857142857142857,0.952380952380952,0.486816741029636,0.383045914886908,0.434931327958272,1,0.666666666666667,107,93,309,212,1,0.666666666666667,107,93,309,212,1,1,1,1,0.896817743490839,0.871352240032882,0.666666666666667,0.811612216730129,1,91,"FALSE",1,34,0,241.619047619048,-0.113424044239621,8,0.486816762766089,2.29227308478615,-0.461689961184175,4
366,"Toli","Kpetema","[redacted]","[redacted]",13661,79,129,0.714285714285714,0.0697711408138275,-3.03969097137451,-0.520422875881195,-0.155473083257675,-0.760873973369598,-2.2978367805481,-0.197067871689796,-0.14396533370018,-0.545473158359528,-2.46713399887085,0,0,0.457440648523451,0.28801071667783,0.714285714285714,0.486579026495665,0.190691518314518,0.290535819971642,0.24061366914308,1,0.333333333333333,78,0,128,0,1,0.333333333333333,78,0,128,0,1,0.640961442163245,1,0.880320480721082,0,0,0.333333333333333,0.111111111111111,0,49,"FALSE",1,52,0,69.5714285714286,-0.14284612228988,7,0.190691522258037,0.0609627722216003,-1.13101214786696,4
367,"Toli","Kpetema","[redacted]","[redacted]",13671,93,391,0.428571428571429,0.41124027967453,-3.03969097137451,0.0969303175806999,-0.303293019533157,0.512210369110107,-2.2978367805481,-0.197067871689796,-0.14396533370018,0.366576939821243,-2.53178071975708,1,0,0.538506079907354,0.872962714891717,0.428571428571429,0.6133467411235,0.183770685008605,0.407132251651645,0.295451468330125,0.5,0.333333333333333,89,2,369,15,0.5,0.333333333333333,89,2,369,15,1,1,0.5,0.833333333333333,0.0192864030858245,0.061652281134402,0.333333333333333,0.138090672517853,0,182,"TRUE",0,89,1,161.47619047619,-0.185284664451764,9,0.183770689460925,1.08979970696725,-1.94198634925168,8
368,"Toli","Kondewakoro","[redacted]","[redacted]",13680,55,85,1,0.193223059177399,0.192184567451477,0.202229887247086,-0.140691086649895,-0.29107078909874,0.631752729415894,-0.197067871689796,0,-0.055316723883152,0.296911686658859,0,1,0.318471337579618,0.18977450323733,1,0.502748613605649,0.486599752588024,0.359279806133685,0.422939779360854,1,1,32,23,51,34,1,1,32,23,51,34,0.415045395590143,0.255383074611918,1,0.556809490067354,0.221793635486982,0.139745170571311,1,0.453846268686098,1,182,"TRUE",1,74,1,47,0.360707642483029,8,0.486599772063887,0.347862026888465,0.405394719252974,8
370,"Toli","Kondewakoro","[redacted]","[redacted]",13701,27,46,0.571428571428571,0.469768911600113,0.395290553569794,-1.90077090263367,-0.303293019533157,0.145917519927025,-1.74399209022522,2.35221910476685,-0.14396533370018,0.401989549398422,-0.787330150604248,1,0,0.156340474811812,0.102701495869614,0.571428571428571,0.276823514036666,0.370524934927031,0.419869666586286,0.395197300756659,0.75,0.333333333333333,15,9,25,16,0.75,0.333333333333333,15,9,25,16,0.194552529182879,0.125187781672509,0.75,0.356580103618463,0.0867888138862102,0.0657624332100288,0.333333333333333,0.161961526809857,0,183,"TRUE",0,92,1,24.5238095238095,0.014229070856503,9,0.370524952421636,-0.733433422121223,-0.819037991260929,8
